date,close
2016-06-29,178.509
2016-06-30,180.931
2016-07-01,181.267
2016-07-05,180.003
2016-07-06,181.092
2016-07-07,180.961
2016-07-08,183.687
2016-07-11,184.339
2016-07-12,185.659
2016-07-13,185.629
2016-07-14,186.665
2016-07-15,186.425
2016-07-18,186.912
2016-07-19,186.721
2016-07-20,187.496
2016-07-21,186.79
2016-07-22,187.64
2016-07-25,187.123
2016-07-26,187.218
2016-07-27,187.02
2016-07-28,187.238
2016-07-29,187.536
2016-08-01,187.372
2016-08-02,186.176
2016-08-03,186.712
2016-08-04,186.912
2016-08-05,188.453
2016-08-08,188.348
2016-08-09,188.453
2016-08-10,188.005
2016-08-11,188.855
2016-08-12,188.692
2016-08-15,189.21
2016-08-16,188.274
2016-08-17,188.617
2016-08-18,189.019
2016-08-19,188.76
2016-08-22,188.76
2016-08-23,189.104
2016-08-24,188.186
2016-08-25,188.061
2016-08-26,187.679
2016-08-29,188.617
2016-08-30,188.31
2016-08-31,187.766
2016-09-01,187.775
2016-09-02,188.617
2016-09-06,189.162
2016-09-07,189.142
2016-09-08,188.741
2016-09-09,184.222
2016-09-12,186.845
2016-09-13,184.176
2016-09-14,184.1
2016-09-15,185.926
2016-09-16,185.239
2016-09-19,185.248
2016-09-20,185.257
2016-09-21,187.354
2016-09-22,188.541
2016-09-23,187.496
2016-09-26,185.966
2016-09-27,187.133
2016-09-28,188.079
2016-09-29,186.357
2016-09-30,187.775
2016-10-03,187.316
2016-10-04,186.357
2016-10-05,187.188
2016-10-06,187.316
2016-10-07,186.675
2016-10-10,187.65
2016-10-11,185.266
2016-10-12,185.523
2016-10-13,184.932
2016-10-14,185.028
2016-10-17,184.379
2016-10-18,185.523
2016-10-19,186.005
2016-10-20,185.669
2016-10-21,185.746
2016-10-24,186.539
2016-10-25,185.908
2016-10-26,185.553
2016-10-27,185.074
2016-10-28,184.499
2016-10-31,184.509
2016-11-01,183.179
2016-11-02,182.088
2016-11-03,181.257
2016-11-04,181.036
2016-11-07,185.054
2016-11-08,185.849
2016-11-09,187.85
2016-11-10,188.328
2016-11-11,187.888
2016-11-14,188.041
2016-11-15,189.469
2016-11-16,189.104
2016-11-17,190.118
2016-11-18,189.671
2016-11-21,191.106
2016-11-22,191.478
2016-11-23,191.574
2016-11-25,192.312
2016-11-28,191.39
2016-11-29,191.776
2016-11-30,191.307
2016-12-01,190.637
2016-12-02,190.711
2016-12-05,191.851
2016-12-06,192.471
2016-12-07,194.961
2016-12-08,195.45
2016-12-09,196.627
2016-12-12,196.397
2016-12-13,197.747
2016-12-14,196.079
2016-12-15,196.894
2016-12-16,196.504
2016-12-19,196.943
2016-12-20,197.719
2016-12-21,197.145
2016-12-22,196.8
2016-12-23,197.086
2016-12-27,197.602
2016-12-28,195.959
2016-12-29,195.92
2016-12-30,195.172
2017-01-03,196.684
2017-01-04,197.852
2017-01-05,197.719
2017-01-06,198.389
2017-01-09,197.766
2017-01-10,197.766
2017-01-11,198.292
2017-01-12,197.824
2017-01-13,198.254
2017-01-17,197.584
2017-01-18,197.997
2017-01-19,197.268
2017-01-20,197.988
2017-01-23,197.49
2017-01-24,198.743
2017-01-25,200.454
2017-01-26,200.244
2017-01-27,199.95
2017-01-30,198.694
2017-01-31,198.675
2017-02-01,198.753
2017-02-02,198.876
2017-02-03,200.254
2017-02-06,199.921
2017-02-07,199.931
2017-02-08,200.169
2017-02-09,201.363
2017-02-10,202.159
2017-02-13,203.261
2017-02-14,204.092
2017-02-15,205.117
2017-02-16,204.946
2017-02-17,205.271
2017-02-21,206.524
2017-02-22,206.333
2017-02-23,206.476
2017-02-24,206.705
2017-02-27,207.021
2017-02-28,206.504
2017-03-01,209.386
2017-03-02,208.093
2017-03-03,208.218
2017-03-06,207.566
2017-03-07,206.926
2017-03-08,206.563
2017-03-09,206.81
2017-03-10,207.549
2017-03-13,207.663
2017-03-14,206.849
2017-03-15,208.667
2017-03-16,208.275
2017-03-17,207.892
2017-03-20,207.654
2017-03-21,204.971
2017-03-22,205.472
2017-03-23,205.232
2017-03-24,205.089
2017-03-27,204.87
2017-03-28,206.389
2017-03-29,206.563
2017-03-30,207.213
2017-03-31,206.734
2017-04-03,206.399
2017-04-04,206.524
2017-04-05,205.912
2017-04-06,206.495
2017-04-07,206.294
2017-04-10,206.409
2017-04-11,206.169
2017-04-12,205.232
2017-04-13,203.93
2017-04-17,205.75
2017-04-18,205.098
2017-04-19,204.723
2017-04-20,206.409
2017-04-21,205.758
2017-04-24,208.025
2017-04-25,209.203
2017-04-26,209.06
2017-04-27,209.252
2017-04-28,208.782
2017-05-01,209.328
2017-05-02,209.414
2017-05-03,209.137
2017-05-04,209.405
2017-05-05,210.237
2017-05-08,210.2
2017-05-09,210.005
2017-05-10,210.38
2017-05-11,209.95
2017-05-12,209.587
2017-05-15,210.727
2017-05-16,210.523
2017-05-17,206.802
2017-05-18,207.654
2017-05-19,208.973
2017-05-22,210.075
2017-05-23,210.515
2017-05-24,211.005
2017-05-25,212.046
2017-05-26,211.999
2017-05-30,211.806
2017-05-31,211.769
2017-06-01,213.433
2017-06-02,214.152
2017-06-05,213.999
2017-06-06,213.301
2017-06-07,213.693
2017-06-08,213.807
2017-06-09,213.482
2017-06-12,213.433
2017-06-13,214.486
2017-06-14,214.209
2017-06-15,213.797
2017-06-16,213.846
2017-06-19,215.607
2017-06-20,214.171
2017-06-21,214.132
2017-06-22,214.028
2017-06-23,214.277
2017-06-26,214.419
2017-06-27,212.659
2017-06-28,214.602
2017-06-29,212.678
2017-06-30,213.09
2017-07-03,213.463
2017-07-05,213.961
2017-07-06,212.008
2017-07-07,213.367
2017-07-10,213.596
2017-07-11,213.443
2017-07-12,215.031
2017-07-13,215.376
2017-07-14,216.431
2017-07-17,216.401
2017-07-18,216.516
2017-07-19,217.672
2017-07-20,217.751
2017-07-21,217.579
2017-07-24,217.523
2017-07-25,218.047
2017-07-26,218.057
2017-07-27,217.839
2017-07-28,217.597
2017-07-31,217.483
2017-08-01,217.951
2017-08-02,218.067
2017-08-03,217.643
2017-08-04,218.037
2017-08-07,218.449
2017-08-08,217.895
2017-08-09,217.885
2017-08-10,214.811
2017-08-11,215.137
2017-08-14,217.272
2017-08-15,217.244
2017-08-16,217.626
2017-08-17,214.248
2017-08-18,213.912
2017-08-21,214.084
2017-08-22,216.314
2017-08-23,215.511
2017-08-24,215.012
2017-08-25,215.511
2017-08-28,215.521
2017-08-29,215.788
2017-08-30,216.803
2017-08-31,218.106
2017-09-01,218.42
2017-09-05,216.853
2017-09-06,217.588
2017-09-07,217.569
2017-09-08,217.311
2017-09-11,219.628
2017-09-12,220.383
2017-09-13,220.479
2017-09-14,220.412
2017-09-15,220.699
2017-09-18,221.148
2017-09-19,221.376
2017-09-20,221.456
2017-09-21,220.862
2017-09-22,220.9
2017-09-25,220.479
2017-09-26,220.603
2017-09-27,221.446
2017-09-28,221.714
2017-09-29,222.516
2017-10-02,223.465
2017-10-03,223.934
2017-10-04,224.192
