product,effective_date,entry_date,selected_contract,cum_increase_pct,trailing_return,trailing_vol,cluster_week,completeness_fallback,included_flag,exclusion_reason
GC,2020-04-14,2020-04-14,202006,0.09580838323353302,0.17023630810612841,0.3503227822823645,2020-W16,False,True,
GC,2020-08-07,2020-08-07,202010,0.060975609756097615,0.11473635537402783,0.1417706977167455,2020-W32,False,True,
GC,2020-10-02,2020-10-02,202012,0.12903225806451624,-0.01733741201175052,0.14196429474138494,2020-W40,False,True,
GC,2021-02-02,2021-02-02,202104,0.10000000000000009,-0.05959704193252295,0.18041660428933332,2021-W05,False,True,
GC,2022-02-25,2022-02-25,202206,0.10000000000000009,0.05079872766514356,0.10725884301588749,2022-W08,True,True,
GC,2022-12-05,2022-12-05,202302,0.10526315789473695,0.047592453420625215,0.17631607260924032,2022-W49,False,True,
GC,2023-01-06,2023-01-06,202304,0.09523809523809534,0.039456047429744553,0.15718490697251608,2023-W01,False,True,
GC,2023-02-10,2023-02-10,202304,0.07246376811594213,-0.021406416591341473,0.15537155551109322,2023-W06,False,True,
GC,2023-03-14,2023-03-14,202306,0.08108108108108114,0.022915808047041807,0.1556650419545055,2023-W11,False,True,
GC,2023-12-15,2023-12-15,202404,0.0641025641025641,0.014522160722798355,0.1656558007093611,2023-W50,True,True,
GC,2024-03-08,2024-03-08,202406,0.06024096385542177,0.0649040750842619,0.11201833168013607,2024-W10,True,True,
HG,2010-04-30,2010-04-30,201007,0.2142857142857142,-0.07162347233388527,0.21454648566885257,2010-W17,False,True,
HG,2010-06-07,2010-06-07,201007,0.17647058823529416,-0.1282526617588545,0.44984611060299917,2010-W23,False,True,
HG,2010-12-17,2010-12-17,201103,0.1875,0.0801929954749585,0.20416742559995216,2010-W50,False,True,
HG,2011-09-26,2011-09-26,201112,0.17647058823529416,-0.22648854455020268,0.3962804128327835,2011-W39,False,True,
HG,2013-05-07,2013-05-07,201307,0.19354838709677424,-0.02409755157906053,0.3519925221869824,2013-W19,False,True,
HG,2013-06-04,2013-06-04,201307,0.08108108108108114,-0.011940440371917863,0.1604712177401146,2013-W23,False,True,
HG,2014-12-05,2014-12-05,201503,0.26086956521739135,-0.03867092229179419,0.2518101052524937,2014-W49,False,True,
HG,2015-01-16,2015-01-16,201503,0.17241379310344818,-0.10660973505825826,0.21945509130378546,2015-W03,False,True,
HG,2016-11-11,2016-11-11,201612,0.21052631578947367,0.17457189058707623,0.2985779983460115,2016-W45,False,True,
HG,2017-02-03,2017-02-03,201703,0.1272727272727272,0.018663653531616246,0.19736026011816668,2017-W05,False,True,
HG,2017-08-11,2017-08-11,201709,0.14583333333333326,0.07387042051811733,0.1397648214869847,2017-W32,False,True,
HG,2017-09-11,2017-09-11,201712,0.1454545454545455,0.02985296314968113,0.14898465243717932,2017-W37,False,True,
HG,2018-01-26,2018-01-26,201803,0.1071428571428572,-0.011425166737779302,0.14266565177248308,2018-W04,False,True,
HG,2018-08-17,2018-08-17,201809,0.1071428571428572,-0.06658093759791045,0.227456629881827,2018-W33,False,True,
HG,2019-06-28,2019-06-28,201909,0.125,0.014677458100839685,0.13562660815537522,2019-W26,False,True,
HG,2020-01-09,2020-01-09,202003,0.125,0.0,0.09008906217768961,2020-W02,False,False,trailing return exactly zero (v1 A4 exclusion)
HG,2020-03-20,2020-03-20,202007,0.18518518518518512,-0.17645985254295937,0.2815816817730136,2020-W12,False,True,
HG,2020-08-14,2020-08-14,202012,0.10344827586206895,-0.04460430623675392,0.19720830441032447,2020-W33,False,True,
HG,2020-10-02,2020-10-02,202012,0.125,-0.05111845392902313,0.271154789752423,2020-W40,False,True,
